g,geracao,p,peso,v,valor,f,fitness
G:,462,peso:,17297,valor:,21311,fitness:,21311
G:,463,peso:,17297,valor:,21311,fitness:,21311
G:,464,peso:,17297,valor:,21311,fitness:,21311
G:,465,peso:,17297,valor:,21311,fitness:,21311
G:,466,peso:,17297,valor:,21311,fitness:,21311
G:,467,peso:,17297,valor:,21311,fitness:,21311
G:,468,peso:,17297,valor:,21311,fitness:,21311
G:,469,peso:,17297,valor:,21311,fitness:,21311
G:,470,peso:,17297,valor:,21311,fitness:,21311
G:,471,peso:,17297,valor:,21311,fitness:,21311
G:,472,peso:,17297,valor:,21311,fitness:,21311
G:,473,peso:,17297,valor:,21311,fitness:,21311
G:,474,peso:,17297,valor:,21311,fitness:,21311
G:,475,peso:,17297,valor:,21311,fitness:,21311
G:,476,peso:,17297,valor:,21311,fitness:,21311
G:,477,peso:,17297,valor:,21311,fitness:,21311
G:,478,peso:,17297,valor:,21311,fitness:,21311
G:,479,peso:,17297,valor:,21311,fitness:,21311
G:,480,peso:,17297,valor:,21311,fitness:,21311
G:,481,peso:,17297,valor:,21311,fitness:,21311
G:,482,peso:,17301,valor:,21330,fitness:,21330
G:,483,peso:,17301,valor:,21330,fitness:,21330
G:,484,peso:,17301,valor:,21330,fitness:,21330
G:,485,peso:,17301,valor:,21330,fitness:,21330
G:,486,peso:,17301,valor:,21330,fitness:,21330
G:,487,peso:,17301,valor:,21330,fitness:,21330
G:,488,peso:,17301,valor:,21330,fitness:,21330
G:,489,peso:,17301,valor:,21330,fitness:,21330
G:,490,peso:,17301,valor:,21330,fitness:,21330
G:,491,peso:,17301,valor:,21330,fitness:,21330
G:,492,peso:,17301,valor:,21330,fitness:,21330
G:,493,peso:,17301,valor:,21330,fitness:,21330
G:,494,peso:,17301,valor:,21330,fitness:,21330
G:,495,peso:,17301,valor:,21330,fitness:,21330
G:,496,peso:,17280,valor:,21331,fitness:,21331
G:,497,peso:,17280,valor:,21331,fitness:,21331
G:,498,peso:,17316,valor:,21378,fitness:,21378
G:,499,peso:,17316,valor:,21378,fitness:,21378
G:,500,peso:,17316,valor:,21378,fitness:,21378
G:,501,peso:,17133,valor:,21400,fitness:,21400
G:,502,peso:,17133,valor:,21400,fitness:,21400
G:,503,peso:,17133,valor:,21400,fitness:,21400
G:,504,peso:,17133,valor:,21400,fitness:,21400
G:,505,peso:,17133,valor:,21400,fitness:,21400
G:,506,peso:,17133,valor:,21400,fitness:,21400
G:,507,peso:,17133,valor:,21400,fitness:,21400
G:,508,peso:,17133,valor:,21400,fitness:,21400
G:,509,peso:,17133,valor:,21400,fitness:,21400
G:,510,peso:,17133,valor:,21400,fitness:,21400
G:,511,peso:,17133,valor:,21400,fitness:,21400
G:,512,peso:,17133,valor:,21400,fitness:,21400
G:,513,peso:,17133,valor:,21400,fitness:,21400
